Ласковые обращения				
мой мальчик	c'oran'ɛz'ə	цёранязе	8.01	цёранязе
моя девочка	st'ər'n'ɛz'ə	стирьнязе	8.02	стирьнязе
внук/внучка	unəkən'ɛz'ə	уноконязе	8.03	уноконязе
дитятко	id'n'ɛz'ə	иднязе	8.04	иднязе
милый	kɛl'gəmn'ɛz'ə	кельгомнязе	8.05	кельгомнязе
нежная (о девочке)	l'ɛpən'ɛz'ə	ляпонязе	8.06	ляпонязе
				
				
				
Поощрение				
умница	jožun'ɛ	ёжуня	8.07	ёжуня
хорошая девочка	cebɛr' s't'ər'n'ɛ	цебярь стирня	8.08	цебярь стирня
Хороший мальчик	c'ebɛr' c'oran'ɛ, c'ɛbɛr' stər'n'ɛ	цебярь цёраня	8.09	цебярь цёраня
послушный	kul̥cəndi	кулхцонды	8.10	кулхцонды
самый лучший	in' c'ebɛr's'	инь цебярсь	8.11	инь цебярсь
				
				
Наказание				
поставлю в угол! (и на колени)	putt'ɛ užət'i	пуття ужети	8.12	пуття ужети
не пущу весь день никуда	af noldat'ɛ kovgə	аф нолдатя ковга	8.13	аф нолдатя ковга
глупый!	af jožu!	аф ёжу	8.14	аф ёжу
шалун!	pot'iška!	потишка!	8.15	потишка
зачем ты так делаешь?	mejamə dagə t'ijət'?	меяма дага тиеть?	8.16	меяма дага тиеть
что ты натворил?	mejamə t'ijat?	меяма тият?	8.17	меяма тият
Зачем ты так себя ведешь?	mes t'aftə vɛt'sak pr'ɛc'ɛn'?	мес тяфта вятьсак пряцень?	8.18	мес тяфта вятьсак пряцень
Почему не слушаешься меня?	mes af kul̥cənsamak mon'?	мес аф кулхцонсамак монь?	8.19	мес аф кулхцонсамак монь
Слушайся маму!	kul̥cəntk t'ɛd'ɛc'ən'	кулхцонтк тядяцень	8.20	кулхцонтк тядяцень
Не шали	t'at azəravanda!	тят азорованда!	8.21	тят азорованда
				
Доброе утро				
				
Вставай!	p'in'gə st'ams 	пинге стямс	8.22	пинге стямс
Надо вставать!	st'ama!	стяма	8.23	стяма
Иди завтракать	sak jar̥camə	сак ярхцама	8.24	сак ярхцама
Мне неохота вставать	af, mon n'ingə aščan madəz'	аф, мон нинге ащан мадозь	8.25	аф, мон нинге ащан мадозь
Не хочется вставать	mon' af mɛl'əz'ə st'ams	монь аф мелезе стямс, 	8.26	монь аф мелезе стямс
Поторопись (в школу)!	er'askətt!	эряскодт!	8.27	эряскодт
давай скорее	davaj viškən'astə	давай вишконяста	8.28	давай вишконяста
Мне завтра ко второму уроку	t'ejən t'ɛči ombəc'ə urokt'i	теен тячи омбоце урокти	8.29	теен тячи омбоце урокти
				
				
				
Утешение				
Почему ты плачешь?	mez'(ənksa) avar'd'at?	мезенкса авардят?	8.30	мезенкса авардят
Что случилось?	mejama lis's'? 	меяма лиссь?	8.31	меяма лиссь
Тебя кто-нибудь обидел?	ton' kivək obəžan'z'ə	тонь кивок обжанзе	8.32	тонь кивок обжанзе
Я упал и ударился	mon pran' i er̥'t'əvən'	мон прань и эрьхтевонь	8.33	монь прань и эрьхтевонь
Мне больно	mon s'ɛr'ɛd'i pɛkəz'ə	монь сяряди пекозе	8.34	монь сяряди пекозе
Не плачь	t'ɛt avar'd'ə	тят аварьде	8.35	тят аварьде
Я никому не расскажу	mon t'ɛn' kin'd'in'gə af azsa	мон тянь киндинге аф азса	8.36	мон тянь киндинге аф азса
				
				
				
				
Разговор за едой				
Суп горячий	l'ɛms' ps'i	лямсь пси	8.37	лямсь пси
