Что вы (сейчас) готовите на…?	mez'ə t'in' anəklatadə?	мезе тинь аноклатада…?	5.01	мезе тинь аноклатада…?
Завтракать	zaftrakams	завтракамс	5.02	завтракамс
Обедать	abedams	абедамс	5.03	абедамс
Ужинать	užanams	ужанамс	5.04	ужанамс
Что вы обычно готовите на…?	mez'ə t'in' anəklakšn'ətadə?	мезе тинь аноклакшнетада...?	5.05	мезе тинь аноклакшнетада…?
Обычно мы готовим щи	min' anəklakšn'ətamə abedams l'ɛm	минь аноклакшнетама абедамс лем	5.06	минь аноклакшнетама абедамс лем
Обед скоро будет готов	abec' kurək pid'əvi	абедсь курок пидеви	5.07	абедсь курок пидеви
Обед ещё не готов	abec' n'ingə iz' pi	абедсь нинге изь пи	5.08	абедсь нинге изь пи
Что кладётся в тесто?	mez'ə kajs'əvi šapaks't'i?	мезе кайсеви шапаксти?	5.09	мезе кайсеви шапаксти?
В тесто кладут...	šapakst'i  kajs'əvij̊t' 	шапаксти кайсевихть…	5.10	шапаксти кайсевихть…
яйца	al̥t	алхт	5.11	алхт
масло	vaj	вай	5.12	вай
сахар	saxər	сахар	5.13	сахар
соль	sal	сал	5.14	сал
мука	počf	почф	5.15	почф
молоко	lofcə	лофца	5.16	лофца
дрожжи	orgat	оргат	5.17	оргат
Постная еда	postnaj jar̥cambɛl'	постнай ярхцамбяль	5.18	постнай ярхцамбяль
Из чего делаются щи?	mez'ə kajs'əvi l'ɛmt'i?	мезе кайсеви лямти?	5.19	мезе кайсеви лямти?
В щи кладут...	l'ɛmt'i kajs'ij̊t' 	лямти кайсихть:...	5.20	лямти кайсихть…
картошка	modamar̥'t',	модамархть	5.21	модамархть
вода	ved'	ведь	5.22	ведь
мясо	sivəl'	сиволь	5.23	сиволь
капуста	kapstat	капстат	5.24	капстат
морковка	pur̥'kat	пурьхкат	5.25	пурьхкат
лук	šur̥'kat	шурьхкат	5.26	шурьхкат
Пожарь морковку	žar'əndak pur̥'kat	жарендак пурьхкат	5.27	жарендак пурьхкат
Пожарь лук	žar'əndak šur̥'kat	жарендак шурьхкат	5.28	жарендак шурьхкат
Потуши капусту	tušəndak kapstat	тушендак капстат	5.29	тушендак капстат
Подогрей суп	ežd'k l'ɛmt'	эждьк лямть	5.30	эждьк лямть
Нарежь…	ker's'ək	керсек...	5.31	керсек…
Плита	plita	плита	5.32	плита
Кастрюля	kastr'ul'	кастрюль	5.33	кастрюль
Поставь кастрюлю на плиту	putk kastr'ul't' plitat' lanks	путк кастрюльть плитать лангс	5.34	путк кастрюльть плитать лангс
Половник	kar̥'kɛn'ɛ	кархкяня	5.35	кархкяня
Миска	šavan'ɛ	шаваня	5.36	шаваня
Передник	ingəl'ks	инголькс	5.37	инголькс
Стол	morkš	моркш	5.38	моркш
Солить (суп)	salijaftəms (l´ɛmt´)	салыяфтомс (лямть)	5.39	салыяфтомс (лямть)
Квашеная капуста	šapamə kapstat	шапама капстат	5.40	шапама капстат
Квасить капусту	šapaftəms kapstat	шапафтомс капстат	5.41	шапафтомс капстат
Варить	pid'əms	пидемс	5.42	пидемс
Запекать (в духовке)	pid'əms duxofkasə	пидемс духовкаса	5.43	пидемс духовкаса
Сливки	vajvel'əz	вайвелез	5.44	вайвелез
Сними сливки	kočkak vajvel'əzt'	кочкак вайвелезть	5.45	кочкак вайвелезть
Почисти огурцы	vatkak kujar̥t	ваткак куярхт	5.46	ваткак куярхт
Горох	snaft	снафт	5.47	снафт
Ой, картошка пригорела	oj, modamar̥'t'n'ə paləst'	ой, модамарьхне палость	5.48	ой, модамарьхне палость
давай сделаем брагу	t´ij̊t'amə poza	тихтяма поза	5.49	тихтяма поза
давай сделаем квас	t´ij̊t'amə kvas	тихтяма квас	5.50	тихтяма квас
заквасим тесто	šor´asas'k šapaksnən 	шорясаськ шапакснон	5.51	шорясаськ шапакснон
а после теста отобьём холодец	šapakstə mel´ə tapasas'k st'ud'ən't'	шапакста меле тапасаськ стюденть	5.52	шапакста меле тапасаськ стюденть
капусту приготовим	kapstat'n'ən' anəklasas'k	капстатнень анокласаськ	5.53	капстатнень анокласаськ
мясо нарежем	sivəl't' ker's'əsas'k	сивольть керсесаськ	5.54	сивольть керсесаськ
лук натрём	šur̥kɛt'n'ən' šovasas'k	шурьхкятнень шовасаськ	5.55	шурьхкятнень шовасаськ
морковь натрём	pur̥kɛt'n'ən' šovasas'k	пурьхкятненть шовасаськ	5.56	пурьхкятненть шовасаськ
котлеты-полуфабрикаты делать надо вечером 	kat'let't'n'ən' t'ijənd'əmat ilɛt'	катлетнень тиендемат илять	5.57	катлетнень тиендемат илять
