Давай чаю попьём	daj čɛjdə s'ipt'amə	дай чайда сиптяма	4.01	дай чайда сиптяма
Сядь, поешь с нами?	ozak, mar̥tənək jar̥camə	озак мархтонк ярхцама	4.02	озак мархтонк ярхцама
Чай пить будешь?	čɛjdə s'imat?	чайда симат?	4.03	чайда симат
Есть хочется	pekəz'ə vač's'	пекозе вачсь	4.04	пекозе вачсь
Передай это	maksk ...	макск	4.05	макск
Капуста	kapstə	капста	4.06	капста
Блины	pačat	пачат	4.07	пачат
Ещё немножко налей	i dagə af lamn'ɛ kajak	и дага аф ламня каяк	4.08	идага аф ламня каяк
Ещё немножко положи	i dagə af lamn'ɛ putt	и дага аф ламня путт	4.09	идага аф ламня путт
Хватит	sati	саты	4.10	саты
На здоровье!	šumbrašinksə 	шумбрашинкса	4.11	шумбрашинкса
На счастье!	pavazənksə 	павазонкса	4.12	павазонкса
Спасибо, я сыт	mon topəd'ən'	мон топодень	4.13	мон топодень
Очень вкусно	pɛk tan'c't'i s'ɛmbəs'	пяк танцти сембось	4.14	пяк танцти сембось
Выпьем за твоё здоровье!	sipt'amə ton' inksət	сиптяма тонь инксот	4.15	сиптяма тонь инксот
Я желаю тебе здоровья	mon t'ejət ars'an šumbrašin'ɛ	мон тейть арсян шумбрашине	4.16	мон тейть арсян шумбрашине
