Нет	af / ajaf	аф / аяф	3.01	аф аяф
Меня зовут...	mon' l'eməz'ə	монь лемозе…	3.02	монь лемозе…
Как вас зовут?	koda l'emc'ə	кода лемце	3.03	кода лемце
Спасибо 	s'ukpr'ɛ	сюкпря	3.04	сюкпря
Не за что	aš mejənksə	аш меенкса	3.05	аш меенкса
"Всё для тебя"	god'aft n'i	годяфт ни	3.06	годяфт ни
Я не специально	mon af naroč	мон аф нароч	3.07	мон аф нароч
Да неужели! (недоверие)	d'ɛr'ɛj məl'e	дяряй мле	3.08	дяряй мле
Я не понял	mon iz'in'ə šar̥'kəd'ə	мон изине шарьхкоде	3.09	мон изине шарьхкоде
Ну рассмешили меня	nu n'i rakaftəmas't'	ну ни ракафтомасть	3.10	ну ни ракафтомасть
Не знаю	af sodasa	аф содаса	3.11	аф содаса
Не знаю	kat'i	кати	3.12	кати
Я и не помню	afl'ɛ mɛl'afca	афля меляфца	3.13	афля меляфца
Это давно было!	s'ɛ kunarə ul's'	ся кунара ульсь	3.14	ся кунара ульсь
Прости (неважное)	prost'amak	простямак	3.15	простямак
Пойдём гулять!	ad'ɛ gul'andamə	адя гуляндама	3.16	адя гуляндама
Не хочу	af mɛl'əzən	аф мялезон	3.17	аф мялезон
Не стоит	af er'avi	аф эряви	3.18	аф эряви
Ну и пусть	i katk	и катк	3.19	икатк
Что делаешь?	mez'ə t'ijat?	мезе тият?	3.20	мезе тият
Не могу говорить	aš məz'ardə kor̥n'ems	аш мзярда корхнемс	3.21	аш мзярда корхнемс
Я занята	af jotkə	аф ётка	3.22	аф ётка
Потом позвони	odu zvon'ak	оду звоняк	3.23	оду звоняк
В Ватсапе напишу	vacapsə t'ɛšt'an	Ватсапса тяштян	3.24	Ватсапса тяштян
Ой тебя плохо слышно	ploxstə kul'əvat	плохста кулеват	3.25	плохста кулеват
Связи нет	sv'ɛz' aš	связь аш	3.26	связь аш
Потом позвоню	odu zvon'an	оду звонян	3.27	оду звонян
Заходите	suvak	сувак	3.28	сувак
Проходи	jotak	ётак	3.29	ётак
Садитесь	ozak	озак	3.30	озак
У меня всё хорошо	mon' p'ɛk c'еbɛr̥t' t'ɛv'n'ə	монь пяк цебярьхть тевне	3.31	монь пяк цебярьхть тевне
Пусть ничего плохого не будет!	štobə fkavək zijan afəl' ul'ə	штоба фкавок зиян афоль уле	3.32	штоба фкавок зиян афоль уле
Пусть душа её будет во свете, пусть место её будет в раю	svecə ul'əzə vajmən'ac, rajsə vastən'ac	светса улезо ваймоняц, райса вастоняц	3.33	светса улезо ваймоняц, райса вастоняц
Сколько стоит?	məz'arə pitn'əc	мзяра питнец	3.34	мзяра питнец
Сколько стоит?	mejd'ə pitn'əc	мейде питнец	3.35	мейде питнец
Стоит сто рублей	son' pitn'əc s'adə calkovaj	сонь питнец сяда цалхковай	3.36	сонь питнец сяда цалхковай
Очень дорогой	pɛk pitn'i	пяк питни	3.37	пяк питни
Хлеб у тебя свежий?	kšic'ə ton' sveža?	кшице тонь свежа?	3.38	кшице тонь свежа
Хлеб давно привели?	məz'ardə kšis' uskf?	мзярда кшись ускф	3.39	мзярда кшись ускф
Хлеб сегодняшний?	kšic'ə t'ɛčijən'?	кшице тячиень?	3.40	кшице тячиень
Взвесь полкилограмма	vesen'dak pɛl'ə kilo	весендак пеле кило	3.41	весендак пеле кило
Хлеба купи	kši ramak	кши рамак	3.42	кши рамак
Открой окно	valm'ɛt' pančk	вальмять панчк	3.43	вальмять панчк
Закрой окно	valmɛt' pɛkstak	вальмять пякстак	3.44	вальмять пякстак
