сегодня много комаров	t'ɛči lamə s'ɛs'ktə	тячи лама сяськта	7.01	тячи лама сяськта
я промок	mon načkən'	мон начконь	7.02	мон начконь
сегодня солнечно	t''ɛči š'i	тячи ши	7.03	тячи ши
сегодня облачно	t'ači tuc'av	тячи туцяв	7.04	тячи туцяв
мне холодно	mon'd'ejən jakšamə	мондеен якшама	7.05	мондеен якшама
я замёрз	mon ɛjəndan'	мон эендань	7.06	мон эендань
мне жарко	mon'd'ejən ps'i	мондеен пси	7.07	мондеен пси
идёт дождь	piz'əm mol'i	пизем моли	7.08	пизем моли
идёт снег	lov mol'i	лов моли	7.09	лов моли
град	c'ɛraxman	цярахман	7.10	цярахман
сегодня хорошая погода	t'ɛči c'ɛbɛr šis'	тячи цебярь шись	7.11	тячи цебярь шись
к вечеру затучивает	il'ɛd'ən'd'i tuc'ɛlgəfn'əsi	иляденди туцялгофнесы	7.12	иляденди туцялгофнесы
холод, мороз	kel'mə, jakšamə	кельме, якшама	7.13	кельме, якшама
тепло	l'ɛmbɛ	лямбе	7.14	лямбе
этим летом была засуха	t'ɛ kizəs' kos'kəl'	тя кизось коськоль	7.15	тя кизось коськоль
тает снег	solaj lovs'	солай ловсь	7.16	солай ловсь
пошёл лёд	ɛj̊n'ə tus't'	эйхне тусть	7.17	эйхне тусть
весна наступила рано	tundas' sas' rana	тундась сась рана	7.18	тундась сась рана
какая температура?	kodamə t'əmp'ərəturas'?	кодама температурась	7.19	кодама температурась
опали листья	pras't' lopatn'e	прасть лопатне	7.20	прасть лопатне
бабье лето	lopa praman' pin'gə	лопа прамань пинге	7.21	лопа прамань пинге
похолодало	kelməl'	кельмоль	7.22	кельмоль
деревья покрылись инеем	š'uft't'n'e l’ešas't'	шуфттне лешасть	7.23	шуфттне лешасть
на дороге гололедица	k'is' kur'ksti	кись курьксты	7.24	кись курьксты
ледянка	gornama	горнама	7.25	горнама
кататься с горки	kur'ks'n'əma pant't' ezdə	курькснема пандть эзда	7.26	курькснема пандть эзда
мне надеть куртку?	mon šč'ajan šč'am?	мон щаян щам?	7.27	мон щаян щам
шуба	or	ор	7.28	ор
зима	t'alə	тяла	7.29	тяла
весна	tunda	тунда	7.30	тунда
лето	k'izə	киза	7.31	киза
осень	s'oksə	сёксе	7.32	сёксе
я так замерз	t'ɛškəvə ɛjendan'	тяшкава эендан	7.33	тяшкава эендань
дома снимай сапоги	kudu kajɛjt' k'emətn'en'	куду каяйть кемотнень	7.34	куду каяйть кемотнень
сени	kudəngəl'	кудонголь	7.35	кудонголь
яблоки рано поспели	mar̥n'e rana ken'ər'st	марьхне рана кенерсть	7.36	марьхне рана кенерсть
картошка уродилась маленькая	modamar̥'n'e t'add'ə jomlan'at	модамарьхне тядде ёмланят	7.37	модамарьхне тядде ёмланят
