Как это по-мордовски сказать?	s'ɛn' koda mokšəks azəms?	сянь кода мокшекс азомс?	1.01	сянь кода мокшекс азомс
Давайте по-мордовски поговорим	mokšəks kor̥n'ətamə	мокшекс корхнетама!	1.02	мокшекс корхнетама
А как это по-русски?	a koda t'ɛ ruzks?	а кода тя рузкс?	1.03	акода тя рузкс
Этого слова я не знаю	va t'ɛ valt' mon af sodasa	ва тя валть мон аф содаса	1.04	ва тя валть мон аф содаса
Я по-мордовски не говорю	mon mokšəks af kor̥tan	мон мокшекс аф корхтан	1.05	мон мокшекс аф корхтан
Я по-мордовски только немного говорю	mon mokšəks af pɛk kor̥tan	мон мокшекс аф пяк корхтан	1.06	мон мокшекс аф пяк корхтан
Я по-мордовски понимаю, а не говорю	mon mokšəks anc'ək šar̥kəd'an, af kor̥tan	мон мокшекс аньцек шарьходян, аф корхтан	1.07	мон мокшекс аньцек шарьходян, аф корхтан
Он по-мордовски всё понимает, но не говорит	son s'embən' šar̥kəd'i, no af kor̥taj	сон сембонь шарьхкоди, но аф корхтай	1.08	сон сембонь шарьхкоди, но аф корхтай
Повторите ещё раз	dagə fes't' azk	дага фесть азк	1.09	дага фесть азк
Не понял	iz'in'ə šar̥'kəd'ə	изине шарьходе	1.10	изине шарьходе
Не расслышал	iz'in'ə kul'ə	изине куле	1.11	изине куле
В разных районах неодинаковый язык	er' rajoncə kɛl's' af fkɛ	эрь районца кяльсь аф фкя	1.12	эрь районца кяльсь аф фкя
Помедленнее говори	s'adə salavan'ə kor̥tak	сяда салаване корхтак	1.13	сяда салаване корхтак
Наш мокшанский язык самый красивый	mokšən' kɛl'ən'kə s'embədə mazi	мокшень кяленьке сембода мазы	1.14	мокшень кяленьке сембода мазы
Он по-мокшански чисто говорит	son mokšəks čistajstə kor̥taj	сон мокшекс чистайста корхтай	1.15	сон мокшекс чистайста корхтай
Наш мокшанский язык теряется	mokšən' kɛl'ən'kə jums'i	мокшень кяленьке юмси	1.16	мокшень кяленьке юмси
Мокшанский язык надо сохранять	mokšən' kɛl't' er'avi vanftəms	мокшень кяльть эряви ванфтомс	1.17	мокшень кяльть эряви ванфтомс
По-мокшански нужно говорить со своими детьми	es' id'ən't'ən' mar̥tə er'avi kor̥tams mokšəks	эсь идентенть мархта эряви корхтамс мокшекс	1.18	эсь идентенть мархта эряви корхтамс мокшекс
Это эрзянское слово, наверное	t'ɛ aram er'z'ɛn' vals' 	тя арам эрзянь валсь	1.19	тя арам эрзянь валсь
Говорите погромче	kor̥tadə viškən'astə	корхтада вишконяста	1.20	корхтада вишконяста
Ты понимаешь, что я говорю?	ton šar̥'kəcak, mez'ə mon kor̥tan?	тон шарьходсак, мезе мон корхтан?	1.21	тон шарьходсак, мезе мон корхтан
