Здравствуйте (одному человеку)	šumbrat (одному)	шумбрат	2.01	шумбрат
Здравствуйте (многим людям)	šumbratadə	шумбратада	2.02	шумбратада
До завтра	vandis	вандыс	2.03	вандыс
До завтра ещё дожить надо!	vandis n'ingə er'ɛma 	вандыс нинга эряма!	2.04	вандыс нинга эряма
До свидания	n'ɛjəməzənk	няемозонк	2.05	няемозонк
Ещё приезжайте	dagə sašəndəda	дага сашендода	2.06	дага сашендода
Спи хорошо	lackas udəft	лацкас удофт	2.07	лацкас удофт
Дай Бог здоровья	šumbrašin'ə maksəzə	шумбрашине максоза	2.08	шумбрашине максоза
Хорошо вам добраться	lackɛ pačkəd'ədə	лацкя пачкодеда	2.09	лацкя пачкодеда
Как ваши дела?	koda t'efn'ə?	кода тефне?	2.10	кода тефне
Идут	mol'ij̊t'	молихть	2.11	молихть
Хорошо!	lac	лац	2.12	лац
Туда-сюда	sej-tov	сей-тов	2.13	сей-тов
Потихонечку	salavan'ə	салаване	2.14	салаване
Не очень-то	af pɛk mol'ij̊t'	аф пяк молихть	2.15	аф пяк молихть
Как здоровье?	koda šumbrašic'e?	кода шумбрашице?	2.16	кода шумбрашице
Болею	s'ɛr'ɛd'an	сярядян	2.17	сярядян
Вы откуда?	t'in' kostə sad'ə?	Тинь коста саде?	2.18	Тинь коста саде
какие новости?	kodamət kul'ɛt'n'ə?	кодамот кулятне?	2.19	кодамот кулятне
у вас красивый кот	tin' katən't'ə kodamə mazit	тинь катонте кодама мазы	2.20	тинь катонте кодама мазы
С Богом!	škajn'ɛt' mar̥tə	Шкайнять мархта	2.21	Шкайнять мархта
матери привет передавай	t'ɛd'ɛncti kul'ɛz'ən' azk	тядяцты кулязень азк	2.22	тядяцты кулязень азк
