Интернет (Интернет-приложение, заказ, переписка)	9.0т	Internetta (internetta-täytöš , luajituš , kirjanvaihoš)	сев (0)	Internetti šovelluš tilauš Šeuruštelu
Посмотри мой новый пост/рилс/строис	9.1т	kačo miun uuži posta/video/storis	сев(1)	Kačo miun uuši julkaisu/video/storis
Подпишись на меня	9.2т	kirjuttuače miun peryštäh (основу)	сев(2)	Kirjuttauvu miun šivulla
Добавь меня в друзья	9.3т	liziä milma tovarissoih	сев(3)	Lisyä miut yštävih
Закажи мне в интернете	9.4т	luajita miula internetašša	сев(4)	Tilua še internetissä
Где ты это купила	9.5т	missä šie tämän oššiit?	сев(5)	Missä šie oššit tämän
Я заказала на озоне	9.6т	mie luajitiin ozonašša	сев(6)	Mie tilasin ozonissa
Скинь деньги на карту	9.7т	lähetä / viškua miula rahat/dengat kartalla	сев(7)	Lähetä miula rahua kortilla
Перешли мне его сообщение	9.8т	työnnä miula hänen viestin	сев(8)	Lähetä miula hänen viesti
Добавь в группу/диалог	9.9т	kuču partih / paginah	сев(9)	Kuču miut dialogih/pakinah
Давай создадим чат	9.10т	davai luajimma paginan	сев(10)	Luajikkah yhtehini diaigi/pakina
В группе давно публикаций не было	9.11т	gruupašša/partissa jo ammuin eulun postie	сев(11)	Ryhmäššä ei ollun julkaisuja jo ammuin
Он поставил лайк	9.12т	hiän klikkai armahukšen	сев(12)	Hiän pani tykkäykšen
Я лайкнул	9.13т	mie klikkain armahukšen	сев(13)	Mie tykkäsin
Я оставил комментарий	9.14т	mie jätiin kommentarijän	сев(14)	Mie jätin kommentin
Сделай репост	9.15т	luaji reposta / kaimua (отправить) kirjutukšen	сев(15)	Pane omalla šivulla
Как написать š/č ä,ö	9.16т	kuin kirjuttua bukvie š/č ä,ö?	сев(16)	Kuin kirjuttua internetissä š/č ä,ö kirjaimie?
