Топичими-да варамби	Я тебя плевками убью (мощный человек маленькому)
Тэй най мэпи биусини, найва-да ичэси	Тот человек строит из себя, воображает, даже людей не замечает
Нёани мимбивэ сисхачини	Он меня бьёт по щекам
Тэй наи чилдяк-болдяк муруни	Этот человек хитрый, “и нашим и вашим”
Нёани эчиэ димаӈкини, сиур энэхэни	Он(а), не зайдя в гости, мимо прошёл / прошла
Чуӈну чигухэчи	Всё, что было, отобрали
Хайва лосолиси?	Что (ты тут лапшу) навешиваешь?
Хайми кэчиӈгухэси?	Что недовольное лицо делаешь?
Дэрэгбэцэ!	Ох сейчас получишь (по лицу)!
Ми улэн балдидуи си ичэдими гой монахаси	Глядя на то, как я хорошо живу, тебя перекосило
